distance,dose
0.00,9.077286e+06
0.10,3.445383e+06
0.20,9.283416e+05
0.30,2.478213e+05
0.40,2.081674e+05
0.51,1.394495e+05
0.61,9.726082e+04
0.71,7.043885e+04
0.81,5.398484e+04
0.91,4.301256e+04
1.01,4.779997e+02
1.11,3.453704e+02
1.21,2.459936e+02
1.31,1.752238e+02
1.41,1.284905e+02
1.52,1.028754e+02
1.62,8.879820e+01
1.72,8.558030e+01
1.82,8.656741e+01
1.92,7.752637e+01
2.02,6.996300e+01
2.12,6.684104e+01
2.22,6.415623e+01
2.32,5.519110e+01
2.42,4.916111e+01
2.53,4.462817e+01
2.63,4.431398e+01
2.73,3.939239e+01
2.83,4.105898e+01
2.93,3.899646e+01
3.03,3.370934e+01
3.13,2.942395e+01
3.23,2.678172e+01
3.33,2.473353e+01
3.43,2.501884e+01
3.54,2.497887e+01
3.64,2.371191e+01
3.74,2.343097e+01
3.84,2.336426e+01
3.94,2.128180e+01
4.04,1.962415e+01
4.14,1.696433e+01
4.24,1.530530e+01
4.34,1.549400e+01
4.44,1.553708e+01
4.55,1.477717e+01
4.65,1.432418e+01
4.75,1.363139e+01
4.85,1.268160e+01
4.95,1.186845e+01
5.05,1.117698e+01
5.15,1.072441e+01
5.25,1.005380e+01
5.35,9.667140e+00
5.45,9.895398e+00
5.56,9.728184e+00
5.66,9.004255e+00
5.76,8.899604e+00
5.86,8.711970e+00
5.96,8.309559e+00
6.06,7.952088e+00
6.16,7.121304e+00
6.26,7.264754e+00
6.36,7.321368e+00
6.46,7.019409e+00
6.57,6.767891e+00
6.67,6.493705e+00
6.77,6.076786e+00
6.87,5.997801e+00
6.97,5.925373e+00
7.07,5.318565e+00
7.17,5.391924e+00
7.27,5.308350e+00
7.37,4.959635e+00
7.47,4.809644e+00
7.58,4.633522e+00
7.68,4.515408e+00
7.78,3.960068e+00
7.88,3.747241e+00
7.98,3.871530e+00
8.08,3.842263e+00
8.18,3.824796e+00
8.28,3.972562e+00
8.38,4.198588e+00
8.48,4.038567e+00
8.59,3.921530e+00
8.69,3.904856e+00
8.79,3.823918e+00
8.89,3.718178e+00
8.99,3.441866e+00
9.09,3.348649e+00
9.19,3.453873e+00
9.29,3.372121e+00
9.39,3.378415e+00
9.49,3.185634e+00
9.60,3.034041e+00
9.70,2.947084e+00
9.80,2.989774e+00
9.90,3.214870e+00
10.00,3.672989e+00
